stop_id,stop_name,stop_lat,stop_lon,id_stop,highway,parent_station,location_type
116,parent_116,50.10262950619867,118.0324614617692,,bus_stop,,1
117,parent_117,50.098175874973236,118.03240777134044,,bus_stop,,1
118,parent_118,50.107909766869206,118.03021241362553,,bus_stop,,1
119,parent_119,50.08480575147857,118.04006801733712,,bus_stop,,1
120,parent_120,50.08485383697054,118.03309854231802,,bus_stop,,1
121,parent_121,50.08863320175491,118.06764890997633,,bus_stop,,1
122,parent_122,50.10114772938883,118.0340512084478,,bus_stop,,1
123,parent_123,50.10586943334182,117.98396386688287,,bus_stop,,1
124,parent_124,50.100932826737846,118.04155754727891,,bus_stop,,1
125,parent_125,50.093425840070196,118.03247178295968,,bus_stop,,1
126,parent_126,50.0927148487557,118.03100406918173,,bus_stop,,1
127,parent_127,50.092899939654465,118.03377767665927,,bus_stop,,1
128,parent_128,50.078661277301,118.04131603141882,,bus_stop,,1
129,parent_129,50.09259460939903,118.03488799391718,,bus_stop,,1
130,parent_130,50.08457224508461,118.02116639600895,,bus_stop,,1
131,parent_131,50.08445443958159,118.0193566663073,,bus_stop,,1
132,parent_132,50.08654509362289,118.08307751138189,,bus_stop,,1
133,parent_133,50.084524146400135,118.02553205725462,,bus_stop,,1
134,parent_134,50.09336472164629,118.04799905250825,,bus_stop,,1
135,parent_135,50.092063000073395,118.04771047445857,,bus_stop,,1
136,parent_136,50.148360269716406,118.06111377494267,,bus_stop,,1
137,parent_137,50.09159902995302,118.0459551030272,,bus_stop,,1
143,parent_143,50.09066933638679,118.04679439796134,,bus_stop,,1
144,parent_144,50.08748934526163,118.02672105841118,,bus_stop,,1
145,parent_145,50.085232116764345,118.02633435780375,,bus_stop,,1
148,parent_148,50.11476426408856,118.03759989834623,,bus_stop,,1
